Vak,Omschrijving,Onderwijsniveau,Onderwijsgraad,Thema
geschiedenis,"tijdvakken, bronnenonderzoek, historische kritiek, erfgoed",Secundair onderwijs,"Secundair 1ste graad,Secundair 2de graad,Secundair 3de graad","Prehistorie,Oudheid,Middeleeuwen,Rampen en conflicten,Vroegmoderne tijd,Moderne tijd,Hedendaagse tijd,Erfgoed"
godsdienst ,"religie, geloof, de Kerk, filosofie, ethische kwesties, identiteit, diversiteit","Secundair onderwijs,Lager onderwijs,Kleuteronderwijs","Lager 1ste graad,Lager 2de graad,Lager 3de graad,Secundair 1ste graad,Secundair 2de graad,Secundair 3de graad","Religie en geloof,Filosofie,Identiteit,Normen en waarden"
Grieks,"Woordenschat, grammatica, Griekse cultuur, vaardigheden, literatuur",Secundair onderwijs,"Secundair 1ste graad,Secundair 2de graad,Secundair 3de graad","Klassieke talen,Oudheid,Literatuur,Toerisme"
Hebreeuws,"Woordenschat, grammatica, Hebreeuwse cultuur, vaardigheden, literatuur",Secundair onderwijs,"Secundair 2de graad,Secundair 3de graad","Klassieke talen,Oudheid,Literatuur,Toerisme"
informaticawetenschappen,"Hardware, software, besturingsprogramma's, apps, programmeren",Secundair onderwijs,"Secundair 2de graad,Secundair 3de graad","Digitale vaardigheden en informatica,Mediawijsheid"
interlevensbeschouwelijke dialoog,"Identiteit, samenleving, dialoog, religie, diversiteit",Secundair onderwijs,Secundair 3de graad,"Religie en geloof,Filosofie,Normen en waarden"
Italiaans,"Woordenschat, grammatica, Italiaanse cultuur, vaardigheden, literatuur",Secundair onderwijs,Secundair 3de graad,"Moderne talen,Literatuur,Toerisme"
Latijn,"Woordenschat, grammatica, Latijnse cultuur, vaardigheden, literatuur",Secundair onderwijs,"Secundair 1ste graad,Secundair 2de graad,Secundair 3de graad","Klassieke talen,Literatuur,Oudheid,Toerisme"
lichamelijke opvoeding,"Beweging, atletiek, gymnastiek, balsporten, veiligheid, teamspirit, identiteit","Secundair onderwijs,Lager onderwijs,Kleuteronderwijs","Lager 1ste graad,Lager 2de graad,Lager 3de graad,Secundair 1ste graad,Secundair 2de graad,Secundair 3de graad",Sport en spel
maatschappelijke vorming,"Informatie vinden en praten over overheid, eigen leefmilieu, diversiteit, rechten, participatie, geldzaken, geschiedenis en cultuur",Secundair onderwijs,"Secundair 1ste graad,Secundair 2de graad,Secundair 3de graad","Politiek en overheid,Recht,Participatie,Identiteit,Relaties en seksualiteit,Normen en waarden,Rolpatronen en stereotypen,Media en communicatie,Mediawijsheid,Omgaan met geld,Prehistorie,Oudheid,Middeleeuwen,Moderne tijd,Vroegmoderne tijd,Hedendaagse tijd,Erfgoed"
muzikale opvoeding,"Muziek beluisteren, spelen, beschrijven, mening vormen over, zelfexpressie, cultuur, diversiteit",Secundair onderwijs,"Secundair 1ste graad,Secundair 2de graad","Podiumkunsten,Toegepaste kunsten"
natuurwetenschappen,"Combinatie van biologie, chemie en fysica",Secundair onderwijs,"Secundair 1ste graad,Secundair 2de graad,Secundair 3de graad","Biologie,Fysica,Chemie"
Nederlands,"Woordenschat, grammatica, Vlaamse en Nederlandse cultuur, vaardigheden, literatuur","Secundair onderwijs,Lager onderwijs,Kleuteronderwijs","Lager 1ste graad,Lager 2de graad,Lager 3de graad,Secundair 1ste graad,Secundair 2de graad,Secundair 3de graad","Nederlandse taal,Literatuur,Media en communicatie"
